,Tourist Place,Location,Country,HistoricalSignificance,NaturalBeauty,AdventureActivities,Accessibility,Shopping,Nightlife,WaterSports,WildlifeViewing,ScubaDiving,Type,Url
33,Temple of Edfu, Aswan,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/AttractionProductReview-g294204-d15567208-Edfu_Temple-Aswan_Aswan_Governorate_Nile_River_Valley.html
34,Dendera Temple Complex, Qena             ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1597319-d472016-Reviews-Dendera_Temple_Complex-Dendera_Qena_Governorate_Nile_River_Valley.html
35,Manial Palace Museum, Cairo            ,Egypt,Medium,High,Low,High,Yes,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294201-d566589-Reviews-Manial_Palace_Museum-Cairo_Cairo_Governorate.html
36,Qaitbay Citadel, Alexandria       ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g295398-d472022-Reviews-Fort_Qaitbey-Alexandria_Alexandria_Governorate.html
37,Wadi Degla Protected Area, Cairo            ,Egypt,Low,High,High,Medium,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294201-d469334-Reviews-Wadi_Degla-Cairo_Cairo_Governorate.html
38,The Valley of the Queens, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d472014-Reviews-Valley_of_the_Queens-Luxor_Nile_River_Valley.html
39,Cairo Opera House, Cairo            ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g294201-d460053-Reviews-Cairo_Opera_House-Cairo_Cairo_Governorate.html
40,Salah El-Din Castle, Sinai Peninsula ,Egypt,Medium,High,Low,Low,No,No,Yes,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297557-d1559503-Reviews-Salah_El_Din_Castle-Taba_Red_Sea_and_Sinai.html
41,Ben Ezra Synagogue, Cairo            ,Egypt,High,Low,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294201-d471987-Reviews-Synagogue_Ben_Ezra-Cairo_Cairo_Governorate.html
42,Qasr el-Nil Bridge, Cairo            ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d19392700-Reviews-Qasr_El_Nil_Bridge-Cairo_Cairo_Governorate.html
43,Dakhla Oasis, New Valley       ,Egypt,High,High,High,Low,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g316104-d480077-Reviews-Dakhla_Oasis-Al_Qasr_New_Valley_Governorate.html
44,Siwa Oasis, Matrouh          ,Egypt,High,High,High,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g303857-d600499-Reviews-Lake_Siwa-Siwa_Matrouh_Governorate.html
45,Al-Muizz Street, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d1015353-Reviews-Sharia_Al_Mu_izz_Li_Din_Allah-Cairo_Cairo_Governorate.html
46,Marsa Matrouh Beaches, Marsa Matrouh    ,Egypt,Low,High,High,High,Yes,Yes,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g424910-d2369802-Reviews-Marsa_Matruh-Mersa_Matruh_Matrouh_Governorate.html
47,Valley of the Kings, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294205-d321166-Reviews-Valley_of_the_Kings-Luxor_Nile_River_Valley.html
48,Aswan High Dam, Aswan            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294204-d317781-Reviews-Aswan_High_Dam-Aswan_Aswan_Governorate_Nile_River_Valley.html
49,Hurghada Grand Aquarium, Hurghada         ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297549-d4263372-Reviews-Hurghada_Grand_Aquarium-Hurghada_Red_Sea_and_Sinai.html
50,Giza Plateau, Giza             ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294202-d553174-Reviews-Gizeh_Plateau-Giza_Giza_Governorate.html
51,Sharm El Sheikh, South Sinai      ,Egypt,Low,High,High,High,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g297555-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai-Vacations.html
52,Zeytuna Beach, Hurghada         ,Egypt,Low,High,High,High,Yes,Yes,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g297548-d546092-Reviews-Zeytuna_Beach-El_Gouna_Hurghada_Red_Sea_and_Sinai.html
53,Wadi El Hitan, Fayoum           ,Egypt,High,High,Medium,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294202-d576150-Reviews-Valley_of_the_Whales_Wadi_Al_Hitan-Giza_Giza_Governorate.html
54,Mosque of Ibn Tulun, Cairo            ,Egypt,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d308891-Reviews-Mosque_of_Ibn_Tulun-Cairo_Cairo_Governorate.html
55,St. Mark's Coptic Orthodox Cathedral, Alexandria ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g295398-d12423300-Reviews-Saint_Mark_s_Coptic_Orthodox_Cathedral-Alexandria_Alexandria_Governorate.html
56,Dahab, South Sinai      ,Egypt,Low,High,High,Medium,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g297547-Dahab_South_Sinai_Red_Sea_and_Sinai-Vacations.html
57,Alexandria Corniche, Alexandria       ,Egypt,Medium,High,Low,High,Yes,Yes,No,No,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g295398-d469370-Reviews-Corniche-Alexandria_Alexandria_Governorate.html
58,Blue Hole, South Sinai      ,Egypt,Low,High,High,Low,No,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g297547-d1216598-Reviews-Blue_Hole-Dahab_South_Sinai_Red_Sea_and_Sinai.html
59,Valley of the Nobles, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d553301-Reviews-Valley_of_the_Nobles-Luxor_Nile_River_Valley.html
60,Lake Nasser, Aswan            ,Egypt,Low,High,High,Medium,No,No,Yes,Yes,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294203-d469324-Reviews-Lake_Nasser-Nile_River_Valley.html
61,White Desert, Farafra          ,Egypt,Low,High,High,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g303851-d469339-Reviews-White_Desert-Farafra_New_Valley_Governorate.html
62,Temple of Kom Ombo, Aswan            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g661499-d2339368-Reviews-Temple_of_Kom_Ombo-Kom_Ombo_Aswan_Governorate_Nile_River_Valley.html
63,Nubian Museum, Aswan            ,Egypt,High,Low,Low,Medium,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294204-d472052-Reviews-Nubian_Museum-Aswan_Aswan_Governorate_Nile_River_Valley.html
64,Luxor Museum, Luxor            ,Egypt,High,Low,Low,Medium,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294205-d318020-Reviews-Luxor_Museum-Luxor_Nile_River_Valley.html
65,Temple of Horus, Edfu             ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1597318-d472018-Reviews-Temple_of_Horus-Edfu_Nile_River_Valley.html
66,Monastery of Saint Paul, Red Sea Mountains ,Egypt,High,High,Low,Low,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1133136-d25370442-Reviews-St_Paul_Monastery-Zafarana_Red_Sea_and_Sinai.html
67,Montu Temple, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d1515475-Reviews-Temple_of_Montu-Luxor_Nile_River_Valley.html
68,Coptic Hanging Church, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d308831-Reviews-Hanging_Church_El_Muallaqa_Sitt_Mariam_St_Mary-Cairo_Cairo_Governorate.html
69,Red Sea Mountains, Red Sea Mountains ,Egypt,Low,High,Medium,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Tourism-g297545-Red_Sea_and_Sinai-Vacations.html
70,Wadi El Natrun, Beheira          ,Egypt,High,Low,Low,High,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Tourism-g3689534-Wadi_El_Natrun_Beheira_Governorate-Vacations.html
71,Al-Azhar Mosque, Cairo              ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d459804-Reviews-Al_Azhar_Mosque-Cairo_Cairo_Governorate.html
72,Almaza Bay, Matrouh            ,Egypt,Low,High,Medium,Medium,No,No,Yes,No,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g424910-d1894208-Reviews-Almaza_Bay-Mersa_Matruh_Matrouh_Governorate.html
73,Abydos Temple, Sohag              ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1051491-d4060390-Reviews-Abydos-Sohag_Sohag_Governorate_Nile_River_Valley.html
74,Tiran Island, Sharm El Sheikh  ,Egypt,Low,High,High,Medium,No,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g1889027-d548226-Reviews-Tiran_Island-Tiran_Island_Red_Sea_and_Sinai.html
75,Abu Mena, Alexandria       ,Egypt,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297541-d321364-Reviews-Abu_Mena-Borg_El_Arab_Alexandria_Governorate.html
76,Baron Empain Palace, Cairo            ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d4224073-Reviews-Baron_Palace-Cairo_Cairo_Governorate.html
77,El Alamein War Cemetery, Matrouh          ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g660770-d2277497-Reviews-El_Alamein_War_Cemetery-El_Alamein_Matrouh_Governorate.html
78,El-Gouna, Red Sea Coast    ,Egypt,Low,High,High,High,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g297548-El_Gouna_Hurghada_Red_Sea_and_Sinai-Vacations.html
79,Abu Rawash, Giza             ,Egypt,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294203-d472298-Reviews-Abu_Rawash_Abu_Rowash-Nile_River_Valley.html
80,El-Quseir, Red Sea Coast    ,Egypt,Low,High,High,Medium,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g488096-El_Quseir_Marsa_Alam_Red_Sea_and_Sinai-Vacations.html
81,City stars Mall, Cairo              ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d4887739-Reviews-City_Stars_Mall-Cairo_Cairo_Governorate.html
82,Mall of Egypt, Giza               ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g8363967-d12705929-Reviews-Mall_of_Egypt-6th_of_October_City_Giza_Governorate.html
83,Cairo Festival City Mall, Cairo              ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d6206087-Reviews-Cairo_Festival_City_Mall-Cairo_Cairo_Governorate.html
84,City Centre Alexandria, Alexandria         ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g295398-d8559880-Reviews-City_Centre_Alexandria-Alexandria_Alexandria_Governorate.html
85,Genena City, Sharm El Sheikh    ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g297555-d8470714-Reviews-Genena_City-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html
86,City Centre Maadi, Cairo              ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d7110559-Reviews-Maadi_City_Centre-Cairo_Cairo_Governorate.html
87,The First Mall, Giza               ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294202-d6680737-Reviews-The_First_Mall-Giza_Giza_Governorate.html
88,Mall of Arabia,6th of October,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d2558683-Reviews-Mall_of_Arabia_Cairo-Cairo_Cairo_Governorate.html
89,Zamalek , Cairo              ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294201-d469499-Reviews-Zamalek_Gezira_Island-Cairo_Cairo_Governorate.html
90,Talaat Harb Street, Cairo              ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d3838127-Reviews-Talaat_Harb_Culture_Center-Cairo_Cairo_Governorate.html
91,Katameya Downtown Mall, Cairo              ,Egypt,Low,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d10947660-Reviews-Katameya_downtown_mall-Cairo_Cairo_Governorate.html
92,Souk Al Fustat, Cairo              ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d469361-Reviews-Souk_al_Fustat-Cairo_Cairo_Governorate.html
93,Hagia Sophia, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294497-Reviews-Hagia_Sophia_Mosque-Istanbul.html
94,Cappadocia, Nevsehir          ,Turkey,Medium,High,High,Medium,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Tourism-g297980-Cappadocia-Vacations.html
95,Ephesus, Izmir              ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293976-d548950-Reviews-Ancient_City_of_Ephesus-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html
96,Pamukkale Thermal Pools, Denizli            ,Turkey,Medium,High,High,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297992-d306348-Reviews-Pamukkale_Thermal_Pools-Pamukkale.html
97,Topkapi Palace, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294547-Reviews-Topkapi_Palace-Istanbul.html
98,Bodrum Castle, Bodrum             ,Turkey,High,Low,High,High,Yes,Yes,Yes,Yes,Yes,Historical,https://www.tripadvisor.com/Attraction_Review-g298658-d294952-Reviews-Bodrum_Castle-Bodrum_City_Bodrum_District_Mugla_Province_Turkish_Aegean_Coast.html
99,Goreme Open-Air Museum, Nevsehir          ,Turkey,High,Low,High,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297983-d298413-Reviews-Goreme_Open_Air_Museum-Goreme_Cappadocia.html
100,Pergamon Acropolis, Izmir              ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298003-d307838-Reviews-The_Acropolis-Bergama_Izmir_Province_Turkish_Aegean_Coast.html
101,Mount Ararat, Agri               ,Turkey,High,High,High,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g3445118-d545970-Reviews-Mount_Ararat-Agri_Agri_Province.html
102,Blue Mosque, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294495-Reviews-Blue_Mosque-Istanbul.html
103,Mount Nemrut, Adiyaman           ,Turkey,High,High,High,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297957-d300646-Reviews-Mount_Nemrut-Adiyaman.html
104,Hierapolis-Pamukkale, Denizli            ,Turkey,High,High,High,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297992-d556698-Reviews-Hierapolis_Pamukkale-Pamukkale.html
105,Troy Ancient City, Canakkale          ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297979-d324415-Reviews-Troy_Truva-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html
106,Basilica Cistern, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294555-Reviews-Basilica_Cistern-Istanbul.html
107,Butterfly Valley, Fethiye            ,Turkey,Low,High,High,Medium,No,No,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298031-d552742-Reviews-Butterfly_Valley-Fethiye_Mugla_Province_Turkish_Aegean_Coast.html
108,Sumela Monastery, Trabzon            ,Turkey,High,High,High,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298039-d553486-Reviews-Sumela_Monastery-Trabzon_Ortahisar_Turkish_Black_Sea_Coast.html
109,Grand Bazaar, Istanbul           ,Turkey,High,Low,High,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293974-d19466876-Reviews-Grand_Bazaar-Istanbul.html
110,Uludag Ski Center, Bursa              ,Turkey,High,High,High,Medium,Yes,Yes,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297977-d6779125-Reviews-Uludag_Ski_Center-Bursa.html
111,Aspendos Theater, Antalya            ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297963-d548067-Reviews-Aspendos_Ruins-Serik_Serik_District_Turkish_Mediterranean_Coast.html
112,Derinkuyu Underground City, Nevsehir          ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1972040-d300129-Reviews-Derinkuyu_Underground_City-Derinkuyu_Cappadocia.html
113,Antalya Aquarium, Antalya            ,Turkey,Low,Low,Low,High,Yes,Yes,Yes,Yes,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297962-d3514721-Reviews-Antalya_Aquarium-Antalya_Turkish_Mediterranean_Coast.html
