Unnamed: 0,Tourist Place,Location,Country,HistoricalSignificance,NaturalBeauty,AdventureActivities,Accessibility,Shopping,Nightlife,WaterSports,WildlifeViewing,ScubaDiving,Url,Type_Coastal,Type_Commercial,Type_Cultural,Type_Entertainment,Type_Historical,Type_Natural Parks and Protected Areas,Cluster
18,Elephantine Island, Aswan            ,Egypt,3,1,1,2,0,0,1,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d317766-Reviews-Elephantine_Island-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,0,1,0
19,Cairo Citadel, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308820-Reviews-Cairo_Citadel-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
20,Wadi El Gemal National Park, Marsa Alam       ,Egypt,1,1,3,1,0,0,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g311425-d1055270-Reviews-Wadi_El_Gemal_National_Park-Marsa_Alam_Red_Sea_and_Sinai.html,0,0,0,0,0,1,5
21,Catacombs of Kom El Shoqafa, Alexandria       ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d307781-Reviews-Catacombs_of_Kom_el_Shoqafa-Alexandria_Alexandria_Governorate.html,0,0,0,0,1,0,3
22,Mosque of Muhammad Ali, Cairo            ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d553171-Reviews-Mosque_of_Muhammad_Ali-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,0
23,Al-Azhar Park, Cairo            ,Egypt,2,1,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d543611-Reviews-Al_Azhar_Park-Cairo_Cairo_Governorate.html,0,0,0,0,0,1,2
24,Coptic Museum, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308822-Reviews-The_Coptic_Museum-Cairo_Cairo_Governorate.html,0,0,1,0,0,0,3
25,Egyptian Textile Museum, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d3170758-Reviews-Egyptian_Textile_Museum-Cairo_Cairo_Governorate.html,0,0,1,0,0,0,3
26,Ras Shitan, Sinai Peninsula ,Egypt,1,1,3,1,0,1,1,0,Yes,https://www.tripadvisor.com/Attraction_Review-g297547-d15656325-Reviews-Ras_Shitan_Dahb-Dahab_South_Sinai_Red_Sea_and_Sinai.html,0,0,0,0,0,1,5
27,Montazah Gardens, Alexandria       ,Egypt,2,1,2,3,1,1,1,0,Yes,https://www.tripadvisor.com/Attraction_Review-g295398-d550320-Reviews-Montazah_Gardens-Alexandria_Alexandria_Governorate.html,0,0,0,0,0,1,1
28,Alexandria National Museum, Alexandria       ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d459902-Reviews-Alexandria_National_Museum-Alexandria_Alexandria_Governorate.html,0,0,1,0,0,0,3
29,Philae Sound and Light Show, Aswan            ,Egypt,3,0,1,2,0,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d1755635-Reviews-Sound_and_Light_Show_Philae-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,0,1,0,0,0
30,The Egyptian Museum, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g154996-d10333781-Reviews-The_Egyptian_Museum-Mississauga_Ontario.html,0,0,1,0,0,0,3
31,Nubian Village, Aswan            ,Egypt,2,1,1,1,0,0,1,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d553252-Reviews-Nubian_Village-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,1,0,0,0,6
32,Wadi El Rayan, Fayoum           ,Egypt,1,1,3,1,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g424907-d7652577-Reviews-Wadi_El_Rayan-Al_Fayyum_Al_Fayyum_Governorate.html,0,0,0,0,0,1,5
33,Temple of Edfu, Aswan,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/AttractionProductReview-g294204-d15567208-Edfu_Temple-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
34,Dendera Temple Complex, Qena             ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g1597319-d472016-Reviews-Dendera_Temple_Complex-Dendera_Qena_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
35,Manial Palace Museum, Cairo            ,Egypt,2,1,1,3,1,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d566589-Reviews-Manial_Palace_Museum-Cairo_Cairo_Governorate.html,0,0,1,0,0,0,6
36,Qaitbay Citadel, Alexandria       ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d472022-Reviews-Fort_Qaitbey-Alexandria_Alexandria_Governorate.html,0,0,0,0,1,0,3
37,Wadi Degla Protected Area, Cairo            ,Egypt,1,1,3,2,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g294201-d469334-Reviews-Wadi_Degla-Cairo_Cairo_Governorate.html,0,0,0,0,0,1,5
38,The Valley of the Queens, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d472014-Reviews-Valley_of_the_Queens-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
39,Cairo Opera House, Cairo            ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d460053-Reviews-Cairo_Opera_House-Cairo_Cairo_Governorate.html,0,0,0,1,0,0,2
40,Salah El-Din Castle, Sinai Peninsula ,Egypt,2,1,1,1,0,0,1,0,No,https://www.tripadvisor.com/Attraction_Review-g297557-d1559503-Reviews-Salah_El_Din_Castle-Taba_Red_Sea_and_Sinai.html,0,0,0,0,1,0,0
41,Ben Ezra Synagogue, Cairo            ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d471987-Reviews-Synagogue_Ben_Ezra-Cairo_Cairo_Governorate.html,0,0,1,0,0,0,6
42,Qasr el-Nil Bridge, Cairo            ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d19392700-Reviews-Qasr_El_Nil_Bridge-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
43,Dakhla Oasis, New Valley       ,Egypt,3,1,3,1,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g316104-d480077-Reviews-Dakhla_Oasis-Al_Qasr_New_Valley_Governorate.html,0,0,0,0,0,1,4
44,Siwa Oasis, Matrouh          ,Egypt,3,1,3,1,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g303857-d600499-Reviews-Lake_Siwa-Siwa_Matrouh_Governorate.html,0,0,0,0,0,1,4
45,Al-Muizz Street, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d1015353-Reviews-Sharia_Al_Mu_izz_Li_Din_Allah-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
46,Marsa Matrouh Beaches, Marsa Matrouh    ,Egypt,1,1,3,3,1,1,1,0,Yes,https://www.tripadvisor.com/Attraction_Review-g424910-d2369802-Reviews-Marsa_Matruh-Mersa_Matruh_Matrouh_Governorate.html,1,0,0,0,0,0,1
47,Valley of the Kings, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d321166-Reviews-Valley_of_the_Kings-Luxor_Nile_River_Valley.html,0,0,0,0,0,1,0
48,Aswan High Dam, Aswan            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d317781-Reviews-Aswan_High_Dam-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,0,1,0
49,Hurghada Grand Aquarium, Hurghada         ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297549-d4263372-Reviews-Hurghada_Grand_Aquarium-Hurghada_Red_Sea_and_Sinai.html,0,0,0,0,0,1,2
50,Giza Plateau, Giza             ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294202-d553174-Reviews-Gizeh_Plateau-Giza_Giza_Governorate.html,0,0,0,0,1,0,3
51,Sharm El Sheikh, South Sinai      ,Egypt,1,1,3,3,1,1,1,1,Yes,https://www.tripadvisor.com/Tourism-g297555-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai-Vacations.html,1,0,0,0,0,0,1
52,Zeytuna Beach, Hurghada         ,Egypt,1,1,3,3,1,1,1,0,Yes,https://www.tripadvisor.com/Attraction_Review-g297548-d546092-Reviews-Zeytuna_Beach-El_Gouna_Hurghada_Red_Sea_and_Sinai.html,1,0,0,0,0,0,1
53,Wadi El Hitan, Fayoum           ,Egypt,3,1,2,1,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g294202-d576150-Reviews-Valley_of_the_Whales_Wadi_Al_Hitan-Giza_Giza_Governorate.html,0,0,0,0,0,1,4
54,Mosque of Ibn Tulun, Cairo            ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308891-Reviews-Mosque_of_Ibn_Tulun-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,0
55,St. Mark's Coptic Orthodox Cathedral, Alexandria ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d12423300-Reviews-Saint_Mark_s_Coptic_Orthodox_Cathedral-Alexandria_Alexandria_Governorate.html,0,0,0,0,1,0,3
56,Dahab, South Sinai      ,Egypt,1,1,3,2,1,1,1,1,Yes,https://www.tripadvisor.com/Tourism-g297547-Dahab_South_Sinai_Red_Sea_and_Sinai-Vacations.html,1,0,0,0,0,0,1
57,Alexandria Corniche, Alexandria       ,Egypt,2,1,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d469370-Reviews-Corniche-Alexandria_Alexandria_Governorate.html,1,0,0,0,0,0,2
58,Blue Hole, South Sinai      ,Egypt,1,1,3,1,0,1,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g297547-d1216598-Reviews-Blue_Hole-Dahab_South_Sinai_Red_Sea_and_Sinai.html,1,0,0,0,0,0,5
59,Valley of the Nobles, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d553301-Reviews-Valley_of_the_Nobles-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
60,Lake Nasser, Aswan            ,Egypt,1,1,3,2,0,0,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g294203-d469324-Reviews-Lake_Nasser-Nile_River_Valley.html,0,0,0,0,0,1,5
61,White Desert, Farafra          ,Egypt,1,1,3,1,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g303851-d469339-Reviews-White_Desert-Farafra_New_Valley_Governorate.html,0,0,0,0,0,1,5
62,Temple of Kom Ombo, Aswan            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g661499-d2339368-Reviews-Temple_of_Kom_Ombo-Kom_Ombo_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
63,Nubian Museum, Aswan            ,Egypt,3,0,1,2,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d472052-Reviews-Nubian_Museum-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,1,0,0,0,3
64,Luxor Museum, Luxor            ,Egypt,3,0,1,2,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d318020-Reviews-Luxor_Museum-Luxor_Nile_River_Valley.html,0,0,1,0,0,0,3
65,Temple of Horus, Edfu             ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g1597318-d472018-Reviews-Temple_of_Horus-Edfu_Nile_River_Valley.html,0,0,0,0,1,0,0
66,Monastery of Saint Paul, Red Sea Mountains ,Egypt,3,1,1,1,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g1133136-d25370442-Reviews-St_Paul_Monastery-Zafarana_Red_Sea_and_Sinai.html,0,0,0,0,1,0,0
67,Montu Temple, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d1515475-Reviews-Temple_of_Montu-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
68,Coptic Hanging Church, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308831-Reviews-Hanging_Church_El_Muallaqa_Sitt_Mariam_St_Mary-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
69,Red Sea Mountains, Red Sea Mountains ,Egypt,1,1,2,1,0,0,0,1,No,https://www.tripadvisor.com/Tourism-g297545-Red_Sea_and_Sinai-Vacations.html,0,0,0,0,0,1,5
70,Wadi El Natrun, Beheira          ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Tourism-g3689534-Wadi_El_Natrun_Beheira_Governorate-Vacations.html,0,0,0,0,0,1,0
71,Al-Azhar Mosque, Cairo              ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d459804-Reviews-Al_Azhar_Mosque-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
72,Almaza Bay, Matrouh            ,Egypt,1,1,2,2,0,0,1,0,No,https://www.tripadvisor.com/Attraction_Review-g424910-d1894208-Reviews-Almaza_Bay-Mersa_Matruh_Matrouh_Governorate.html,1,0,0,0,0,0,1
73,Abydos Temple, Sohag              ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g1051491-d4060390-Reviews-Abydos-Sohag_Sohag_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
74,Tiran Island, Sharm El Sheikh  ,Egypt,1,1,3,2,0,1,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g1889027-d548226-Reviews-Tiran_Island-Tiran_Island_Red_Sea_and_Sinai.html,1,0,0,0,0,0,1
75,Abu Mena, Alexandria       ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297541-d321364-Reviews-Abu_Mena-Borg_El_Arab_Alexandria_Governorate.html,0,0,0,0,1,0,0
76,Baron Empain Palace, Cairo            ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d4224073-Reviews-Baron_Palace-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
77,El Alamein War Cemetery, Matrouh          ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g660770-d2277497-Reviews-El_Alamein_War_Cemetery-El_Alamein_Matrouh_Governorate.html,0,0,0,0,1,0,0
78,El-Gouna, Red Sea Coast    ,Egypt,1,1,3,3,1,1,1,1,Yes,https://www.tripadvisor.com/Tourism-g297548-El_Gouna_Hurghada_Red_Sea_and_Sinai-Vacations.html,1,0,0,0,0,0,1
79,Abu Rawash, Giza             ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294203-d472298-Reviews-Abu_Rawash_Abu_Rowash-Nile_River_Valley.html,0,0,0,0,1,0,0
80,El-Quseir, Red Sea Coast    ,Egypt,1,1,3,2,1,1,1,1,Yes,https://www.tripadvisor.com/Tourism-g488096-El_Quseir_Marsa_Alam_Red_Sea_and_Sinai-Vacations.html,1,0,0,0,0,0,1
81,City stars Mall, Cairo              ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d4887739-Reviews-City_Stars_Mall-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
82,Mall of Egypt, Giza               ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g8363967-d12705929-Reviews-Mall_of_Egypt-6th_of_October_City_Giza_Governorate.html,0,1,0,0,0,0,2
83,Cairo Festival City Mall, Cairo              ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d6206087-Reviews-Cairo_Festival_City_Mall-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
84,City Centre Alexandria, Alexandria         ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d8559880-Reviews-City_Centre_Alexandria-Alexandria_Alexandria_Governorate.html,0,1,0,0,0,0,2
85,Genena City, Sharm El Sheikh    ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297555-d8470714-Reviews-Genena_City-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html,0,1,0,0,0,0,2
86,City Centre Maadi, Cairo              ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d7110559-Reviews-Maadi_City_Centre-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
87,The First Mall, Giza               ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294202-d6680737-Reviews-The_First_Mall-Giza_Giza_Governorate.html,0,1,0,0,0,0,2
88,Mall of Arabia,6th of October,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d2558683-Reviews-Mall_of_Arabia_Cairo-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
89,Zamalek , Cairo              ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d469499-Reviews-Zamalek_Gezira_Island-Cairo_Cairo_Governorate.html,0,0,0,0,0,1,2
90,Talaat Harb Street, Cairo              ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d3838127-Reviews-Talaat_Harb_Culture_Center-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
91,Katameya Downtown Mall, Cairo              ,Egypt,1,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d10947660-Reviews-Katameya_downtown_mall-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
92,Souk Al Fustat, Cairo              ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d469361-Reviews-Souk_al_Fustat-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
93,Hagia Sophia, Istanbul           ,Turkey,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293974-d294497-Reviews-Hagia_Sophia_Mosque-Istanbul.html,0,0,0,0,1,0,3
94,Cappadocia, Nevsehir          ,Turkey,2,1,3,2,1,1,0,0,No,https://www.tripadvisor.com/Tourism-g297980-Cappadocia-Vacations.html,0,0,0,0,0,1,4
95,Ephesus, Izmir              ,Turkey,3,0,1,2,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293976-d548950-Reviews-Ancient_City_of_Ephesus-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html,0,0,0,0,1,0,3
96,Pamukkale Thermal Pools, Denizli            ,Turkey,2,1,3,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297992-d306348-Reviews-Pamukkale_Thermal_Pools-Pamukkale.html,0,0,0,0,0,1,1
97,Topkapi Palace, Istanbul           ,Turkey,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293974-d294547-Reviews-Topkapi_Palace-Istanbul.html,0,0,0,0,1,0,3
98,Bodrum Castle, Bodrum             ,Turkey,3,0,3,3,1,1,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g298658-d294952-Reviews-Bodrum_Castle-Bodrum_City_Bodrum_District_Mugla_Province_Turkish_Aegean_Coast.html,0,0,0,0,1,0,4
99,Goreme Open-Air Museum, Nevsehir          ,Turkey,3,0,3,2,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297983-d298413-Reviews-Goreme_Open_Air_Museum-Goreme_Cappadocia.html,0,0,0,0,1,0,4
100,Pergamon Acropolis, Izmir              ,Turkey,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g298003-d307838-Reviews-The_Acropolis-Bergama_Izmir_Province_Turkish_Aegean_Coast.html,0,0,0,0,1,0,0
101,Mount Ararat, Agri               ,Turkey,3,1,3,1,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g3445118-d545970-Reviews-Mount_Ararat-Agri_Agri_Province.html,0,0,0,0,0,1,4
102,Blue Mosque, Istanbul           ,Turkey,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293974-d294495-Reviews-Blue_Mosque-Istanbul.html,0,0,0,0,1,0,3
103,Mount Nemrut, Adiyaman           ,Turkey,3,1,3,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297957-d300646-Reviews-Mount_Nemrut-Adiyaman.html,0,0,0,0,1,0,4
104,Hierapolis-Pamukkale, Denizli            ,Turkey,3,1,3,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297992-d556698-Reviews-Hierapolis_Pamukkale-Pamukkale.html,0,0,0,0,1,0,4
105,Troy Ancient City, Canakkale          ,Turkey,3,0,1,2,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297979-d324415-Reviews-Troy_Truva-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,0,0,0,0,1,0,3
106,Basilica Cistern, Istanbul           ,Turkey,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293974-d294555-Reviews-Basilica_Cistern-Istanbul.html,0,0,0,0,1,0,3
107,Butterfly Valley, Fethiye            ,Turkey,1,1,3,2,0,0,0,1,No,https://www.tripadvisor.com/Attraction_Review-g298031-d552742-Reviews-Butterfly_Valley-Fethiye_Mugla_Province_Turkish_Aegean_Coast.html,0,0,0,0,1,0,5
108,Sumela Monastery, Trabzon            ,Turkey,3,1,3,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g298039-d553486-Reviews-Sumela_Monastery-Trabzon_Ortahisar_Turkish_Black_Sea_Coast.html,0,0,0,0,1,0,4
109,Grand Bazaar, Istanbul           ,Turkey,3,0,3,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g293974-d19466876-Reviews-Grand_Bazaar-Istanbul.html,0,1,0,0,0,0,4
110,Uludag Ski Center, Bursa              ,Turkey,3,1,3,2,1,1,0,1,No,https://www.tripadvisor.com/Attraction_Review-g297977-d6779125-Reviews-Uludag_Ski_Center-Bursa.html,0,0,0,0,1,0,4
